question,u_id,facet,country,all_answers
In which ceremonies do Iranians serve the item depicted in the image?,0b9aadd7-4769-4584-8fd7-428dfa00fdaf,rituals,Iran,['funeral' 'Mourning' 'Funeral']
Find an item in the image that Iranians would die for.,00a46fda-95f7-455b-8bba-e320575b6ea3,food,Iran,['Tahdig' 'Tahdig' 'Ghormeh Sabzi']
"What is the most famous Iranian dessert you can make with the ingredient shown in this image, rose water, and rice?",79f909c7-d80a-4cab-a96a-0f26f374331c,food,Iran,['Shole Zard']
What is the name of the most popular food made with this herb?,75a71390-5aea-4c53-957a-a6e71b746fa3,food,Iran,['' '' 'Adas Polo']
What is the name of this Persian pastry?,09180ea8-c1bf-4724-9f70-7501f4f20cf4,food,Iran,['Shirini keshmeshi' 'Raisin cookies' 'Keshmeshi']
With which material of skewer this food is cooked?,d87f6641-66de-446e-a933-47ad83edc1f0,food,Iran,['steel' 'Metal' 'metallic']
Which side of Iran does the first guy from the right in the image belong to?,fbe240a9-76de-4a92-8136-ea1716764e8d,traditions,Iran,['South' 'West' 'South']
How many years did the last instance of this event in Iran take?,34dd1cb8-5e75-42fb-933a-79c31b9a7dbe,traditions,Iran,['8 years' '8' '8']
Why did these people gather?,829128f6-3b16-48aa-9654-69ba391bc9c6,traditions,Iran,['Picnic' 'Picnic' '']
What sport used to be held in the place shown in the image?,f4247462-9218-4cf6-9952-434510763b03,traditions,Iran,['Polo' 'Chogan' 'polo']
Where is the item shown in the picture located?,e0ab0bf7-2f4f-4f11-a030-bf9080c1007d,traditions,Iran,['Isfahan' 'Naqsh-e Jahan' '']
The seeds of this fruit is said to be related to which religious concept?,e7fcffa3-291f-4074-8452-afb7753bd3eb,drink,Iran,['' '' '']
What drink is pleasant to drink with the item in the image?,6a9e5e3f-fc05-4c27-99e0-8f62cbfbce0a,drink,Iran,['Milk' 'Milk' 'beer']
"Traditionally, is this drink used mainly in the morning or in the evening?",0aa13c4d-b47c-4bc7-a4bb-957561dbad02,drink,Iran,['Morning']
What is the most delicious drink brand that we pair with the food shown in the image?,34057f2e-1376-4a8d-92f0-6edc0ffa859b,drink,Iran,['Abali' 'Abali' 'abali']
What do we get after distilling the item shown in the image?,fd222649-bb5d-4bca-aedb-57a9bb3f9a4e,drink,Iran,['Golab' 'Rose water' 'Rose water']
What are Iranians not really keen on in the image?,2bec6a9c-431a-4dfa-bd02-57b455d95a3a,clothing,Iran,['Hijab' 'Hijab' 'Hijab']
What are women obligated to wear?,2ffd117c-1a33-4b7a-a359-c3bb9ad35cec,clothing,Iran,['hijab' 'Scarf' 'Hijab']
"According to this picture, which parts of women’s body is allowed to be uncovered?",6be2a046-67c7-4a4c-b67c-31d41a0714a5,clothing,Iran,['Hands and face']
What is the most precious material that the item shown in the picture is made of?,d0e20d67-24e5-4292-9222-4b60fdeb3b4f,clothing,Iran,['Silk' 'Silk' 'Silk']
Identify the Brazilian culture that has particularities in all states?,1a8a184f-8ace-4cf9-a732-af3ceedef990,food,Brazil,['Cultural traditions' 'Tapioca' 'Festa Junina']
Identify a vegetable known in Brazil by giving strength?,92e9ea16-f3a3-42fd-9b4a-304d1e8bb39c,food,Brazil,['Spinach' 'spinach' 'Cassava']
Identify in the photo an appetizer that originates from a fruit in Brazil?,8d88fa68-f254-4577-9922-87ba6696d54f,food,Brazil,['Cashew nut' 'cashew nut' 'Cashew nuts']
What fruit is this one shown?,97b3a522-968d-4db3-9126-1898cb9dca5f,food,Brazil,['Banana' 'Banana' 'Plantain' 'This is an unripe Brazilian banana.']
Identify the Brazilian seed that became popular worldwide as an appetizer?,61cd5c3a-9325-4cdf-9ff2-0e8625c8e8bc,food,Brazil,['Cashew Nut' 'cashew nut' 'Cashew nuts']
Identify in the photo the Brazilian symbol that is much seen on football days at the World Cup?,2faa706e-08ea-4f4e-9f88-6000d10bb322,traditions,Brazil,['Brazilian flag' 'The flag' 'National flag of Brazil']
What does this flag symbolize for Brazilians?,3429c249-9b78-4612-8b82-8ce2405193ce,traditions,Brazil,['National Symbol' 'National pride' 'National pride and unity.']
Identify the typical expression of joy made by Brazilians in the photo?,7b73f9f5-70a9-4324-a79d-99302078220b,traditions,Brazil,['' 'Relax in the pool' 'Summer']
What is the local ethnic group with Brazilian roots that is characteristic of the photo?,525abdb3-d337-4b12-b2ee-01a6e3e1f780,traditions,Brazil,['Brazilian indigenous people' 'indigenous' 'Yanomami']
What is the typical Brazilian river transport method shown in the photo?,6f8351dc-db39-4a4c-9370-b035dc80d66f,traditions,Brazil,['Jangada' 'Canoe' 'Canoe']
What type of shirt is typically considered the most formal?,6b0be593-f193-48ee-bdd8-8f8cc3da741a,clothing,Brazil,['' 'Social shirt' 'Formal shirt']
What is the bath costume which is used by women on Brazilian beaches?,f1f5ca23-1476-4be2-a203-079c456d58b7,clothing,Brazil,['Bikini' 'bikini' 'Bikini']
Identify a Brazilian production that is worn in clothing and fabrics?,f12dd800-7905-428c-9690-28747601a795,clothing,Brazil,['Cotton' 'cotton' 'Chita fabric']
What is the typical Brazilian footwear shown in the photo?,1b080c55-9d6e-489f-95d6-8f03f713099b,clothing,Brazil,['flip flop' 'Slipper' 'Havaianas flip-flop']
Identify in the photo a footwear brand that became popular in Brazil and the world?,ec6992fc-90b0-45fa-8cb0-0979086911d7,clothing,Brazil,['Havaianas' 'Havaianas' 'Havaianas']
Identify the martial art in the photo?,4c79241e-3dc9-44d8-bed7-421701a25103,rituals,Brazil,['Jiu Jitsu' 'Boxe' 'Dental appliances']
What cultural or religious practice is this woman likely performing at the sea?,e2ee5b98-bfa9-4103-aa2c-e0397e9bd668,rituals,Brazil,['Umbanda' 'Offering to Iemanjá' 'Candomblé']
What is the Brazilian tradition according to the photo which officializes a love relationship?,ec1ebd50-a42c-47c5-a77d-00546adf6224,rituals,Brazil,['Commitment ring' 'marriage' 'Exchanging Rings']
Identify the Brazilian institution that recruits young men in their mandatory enlistment?,751a2a0e-916c-48e1-a267-c7c59106d6b0,rituals,Brazil,['Brazilian Military' 'Army' 'Brazilian Armed Forces']
What is the Brazilian martial art that became popular at the UFC and MMA festivals?,aec29b23-29fa-4d4d-b20c-73e160c63943,rituals,Brazil,['Jiu Jitsu' 'Jiu-Jitsu' 'Brazilian Jiu-Jitsu (BJJ)']
Identify the alcoholic drink widely consumed in Brazil in the following photo?,035e6a4b-1414-44d6-8b17-8bac0bb64a42,drink,Brazil,['Beer' 'Cachaça' 'Beer']
Identify a Brazilian fuel production that was an alternative to gasoline and disel?,daef26fc-191a-476a-a883-66c9dad9f963,drink,Brazil,['Ethanol' 'ethanol' 'ethanol']
What is the typical Brazilian agricultural production shown in the photo?,f8d29900-ef57-4a37-93ee-d6596f54b8b0,drink,Brazil,['Coffee' 'Coffee' 'Coffee']
Identify the second photo Brazilian production which belongs to the state of Minas Gerais?,449dd4e6-c146-4c46-a36f-506b0669f056,drink,Brazil,['Milk' 'Minas cheese' 'Coffee and Milk']
Identify the typical fruit of Brazilian Amazon which is today a taste of drinks and soda?,b6a921ff-8d0c-41e1-8a6a-f9f1068693ee,drink,Brazil,['Cupuaçu' 'Guaraná' 'Cupuaçu']
"Based on what she is wearing, whose ethnic group in Africa would you classify her as?",7b652a5a-c293-42d8-9245-c3e1556636c1,clothing,Rwanda,['Maasai']
What is the ceremonial dress in the image called?,a13fc28b-003a-4e28-8850-905313634459,clothing,Rwanda,['Umushanana' 'imishanana' 'Umushanana' 'Wedding']
What do Rwandans call these wearing style these women shown are wearing?,693a728d-e9d9-4d50-a6c8-c38a7d8dce35,clothing,Rwanda,['' 'Gukenyera ibitenge' 'Ibitenge' 'ibitenge']
Which church in Rwanda do the majority of followers wear the style shown?,843b1217-b7f6-4c73-9d38-0eac63bf6f28,clothing,Rwanda,['Jehovah Witnesses' 'Seventh Adventist Church' '' 'Jehovah witness']
How can you relate this photo to the history of Rwanda?,2a57f463-0a45-4852-9a58-acbf91395812,clothing,Rwanda,"['the same color of uniforms were worn by RPA Inkotanyi' '' 'Benevolence'
 'urugamba'
 'The soldier is not a member of recognized Rwanda Defence Force(RDF). He has fled the country.']"
Why do you think this has been built?,3fd7af11-b663-486b-a962-16c72d01e706,traditions,Rwanda,"['Tourist Attraction' 'For tourists' '' 'Living'
 'To serve as a waiting place for passengers  while waiting for their buses.']"
What kind of people known for being the ones who create these things in Rwanda?,a952f9e8-5281-4661-950e-ffbf264a69f2,traditions,Rwanda,['Women' 'Women' '' 'Women']
Tell the stage of crop production that is being shown here,d83a91b8-849b-4f7f-8c8e-168734417cd3,traditions,Rwanda,"['Final stage' 'ihungira' 'Processing' 'Reaping'
 'This is after all the kahawa seeds selection processes, at the selling point and when it is ready for export and/or coffee making']"
In Tanzania the dish shown in the image is used mostly for?,ae3e7c2c-7bd7-4086-93d8-14c1f86a3184,traditions,Rwanda,['Festivals and Holidays' 'Lunch' 'Eid Il Fitr' 'Harusi']
What kind of people that are known as the ones who create these objects shown in Rwanda?,03e3c931-426c-454a-a977-1805f7c65f15,traditions,Rwanda,['' '' 'Women' 'Women in Cooperatives']
"Looking at the size of the fruit shown here, what is the typical price to get yourself one in Rwanda currently?",2ee2ff8e-8560-4eb9-b869-6ba468258201,food,Rwanda,['200']
Where do Rwanda send a lot of these plants shown?,b0cbe990-43cc-45a9-9f98-ab8a0a38fe64,food,Rwanda,"['' 'United States, Europe and Asia' 'D.R.C' ''
 'in America, Asia and Europe']"
How can you describe these people?,ab6ac2e8-bdfc-452f-8119-914e40e8b151,food,Rwanda,"['In love' 'People are happy together' 'Old age couple'
 ""There are couple's"" 'An old couple in a village after work']"
What is the name of animal indicated on Image in Kinyarwanda?,16ff40c1-2e0d-4207-992b-7ff20edf427a,food,Rwanda,"['Ihene, goat' 'Ihene (Goat)' 'Ihene' 'inyama']"
How do we call this products shown on Image in Kinyarwanda?,eed6d393-d438-4d10-8782-d5443e9342be,food,Rwanda,"['Imyumbati, cassava' 'imyumbati' 'Imyumbati' 'imyumbati']"
Which disticts known for producing a lot of these plants in Rwanda?,e46d024b-8bdb-46d2-ad2b-d5dd20831693,drink,Rwanda,"['' 'Nyabihu' 'Gisagara, Nyamagabe and Rusizi'
 'Rusizi, Nyamagabe, Nyamasheke']"
What is the most cash crop in Rwanda shown on the photo?,b6b1e4ca-d9e8-4d54-a292-82c2bf818d3b,drink,Rwanda,['tea' 'Beans' 'Coffee Beans' 'Coffee']
Where in Rwanda can the item shown on image be found?,7fa37c8c-5b74-4898-ba37-a0c2933cdb03,drink,Rwanda,['Coffee shop' 'Kigali' 'Western Province' 'Kigali']
What company in western province of Rwanda that produce the product shown on image?,a8e28ea4-0eac-497a-b894-1e682ef66e8e,drink,Rwanda,['Gisovu Tea Company Ltd' 'Pfunda Tea' 'CAFERWA' '']
Name one of the Rwandan provinces well-known for producing big quantities of the product brewed using the equipment illustrated here?,39456870-dff9-4521-85a7-8ce1e1156572,drink,Rwanda,['western province' 'Western Province' 'Western' 'Nyamasheke']
What is going on here?,d501d03b-8677-427a-bd3c-80ef26349cf6,rituals,Rwanda,"['they are in a wedding' 'Taking a photo' 'Wedding'
 'Rwandan ladies are taking a photo at a dowry giving ceremony they have attended']"
Where the baby on image sit?,f7c40fe4-ac32-46c5-922c-89e85b650906,rituals,Rwanda,['ibase' 'Basin' 'Plastic Tub' 'Beseni']
"From Rwandan culture, what action take place on shown image?",1192021a-598b-48bb-be52-9f576e627384,rituals,Rwanda,['Giving a speech']
What are event that is being performed in the image?,86ea271d-4352-4963-80a2-96b496b9ab50,rituals,Rwanda,"['Marriage' 'Wedding' 'Wedding' 'Harusi,Ndoa']"
What is the name of this country's show map shown in the image?,9ade2c60-6dfc-4eaf-bfc4-f317af15ac60,rituals,Rwanda,['Uganda' 'Uganda' 'Uganda' 'Uganda']
Which attraction is depicted in this image?,ff0bce0b-7179-486e-9d05-9efa37b21512,traditions,Germany,"['Weihnachtsmarkt' 'Dresden Christmas market' 'Christmas market'
 'Christmas Market']"
Is the sport shown in the picture a popular sport in Germany?,e6e586b2-3904-40e5-8fcd-0e8201909ad0,traditions,Germany,['Yes']
How is this place called?,dd47b69e-013f-4997-9504-4d2e8a37342d,traditions,Germany,['Weihnachtsmarkt' 'Christmas market' 'Weihnachtsmarkt']
What do people expect to find underneath this object?,b3d8b8f5-af2a-416e-b0ff-deaa2a94d8e5,traditions,Germany,['Presents']
What is the name of the architectural period in which the church in the picture was built?,82215031-0639-473d-8f9c-7c9de723779d,traditions,Germany,['Gothic']
What is the name of the pastry that can be seen in the picture?,39733d4c-5b90-473a-b873-d62f74e809fa,food,Germany,['Lebkuchen']
Which city is associated with the dish shown in the picture?,bcc78c9f-680f-41a8-959a-b71924fe3835,food,Germany,['Berlin']
In which region is this dish typically eaten?,e3ca3318-1490-4d72-bed8-d9c1813ed430,food,Germany,['Southern Germany/Bavarian']
What food is being served with fries here?,e59b1cbd-2cfd-428a-b1f4-fba8cbfb08ec,food,Germany,['Schnitzel']
Which spice or herb is usually part of this meal?,cc3e4687-4fba-4fe1-aeb3-489db832865c,food,Germany,['Dill']
On what day of the week do people visit the building shown in the picture?,31e9a0fd-c1ab-4668-a100-e869e7c36d2e,rituals,Germany,['Sunday']
What does the drink shown in the picture (in its red version) symbolically represent in the Last Supper ritual that is carried out in German churches.,535d82e7-8b5f-4ed4-b186-e458ced4fd32,rituals,Germany,['Blood']
On which day of the week a candle shown in the picture is lit.,606aeda1-a002-4666-9cc2-c54b4af0a436,rituals,Germany,['Sunday']
What is lit in many German households every Sunday at the time shown in the picture.,b44fddf6-9e94-4b2d-92d6-b64b7047f781,rituals,Germany,['Candle']
What activity do the people in the picture do on New Year's Eve?,02bd886c-af46-4b28-a3b3-939f0185db11,rituals,Germany,['shoot firecrackers']
What is the drink shown in the picture traditionally sealed with?,7e4d2b1e-fa75-443c-92e9-b792125002c6,drink,Germany,['Cork']
In which season is the drink in this cup usually consumed?,8c973562-db40-4319-9dd5-51d83c7f910e,drink,Germany,['Winter']
What beverage is sold in this type of bottles?,3f0011f7-0cf3-4ed5-a905-78d71079c3da,drink,Germany,['Beer']
"What drink do you get when you order a ""Knolle"" according to this image?",99a8796e-1be0-40dc-9e07-56df08f021e0,drink,Germany,['Beer' 'beer' 'A beer from the brand Astra']
What typical activity is depicted in this image?,098b83b9-da89-40a9-a452-bc72698c3740,drink,Germany,"['Feierabendbier' 'Anstossen' 'To drink a ""Feierabend-Bierchen""']"
Where is this a traditional way of clothing?,ffcd1ddf-ff5a-4f44-90d8-f019b0e5efd1,clothing,Germany,"['Bavaria' 'Bayern, Germany']"
